lat,lng,violationdescription
40.05901,-75.066758,CLIP VIOLATION NOTICE
40.058914,-75.066584,LICENSE - RENTAL PROPERTY
40.058914,-75.066584,CLIP VIOLATION NOTICE
39.991029,-75.104049,EXT A-VACANT LOT CLEAN/MAINTAI
39.991116,-75.103883,EXT A-VACANT LOT CLEAN/MAINTAI
39.991116,-75.103883,CLIP VIOLATION NOTICE
39.95457,-75.241658,PENALTY- NO ELEC PERM INFO
39.95457,-75.241658,PERMB- ALTER REPAIR INT PART
39.955207,-75.246777,FLOOR/CEILING PARTIALLY COLL
39.954943,-75.246997,DRAINAGE-DOWNSPOUT CONNECT
39.987079,-75.111587,LICENSE-RES SFD/2FD
39.987079,-75.111587,INT S-CEILING REPAIR/MAINT SAN
39.986886,-75.111405,EXT A-CLEAN RUBBISH/GARBAGE
39.987052,-75.111091,CO DETECTOR NEEDED
39.952727,-75.229209,ONE AND TWO FAMILY (R3)
39.952774,-75.22958,VACANT PROPERTIES-GENERAL
39.95501,-75.24754,EXT S-HANDRAIL REPAIR/REPLACE
39.95501,-75.24754,LICENSE-RES GENERAL
39.95501,-75.24754,MECH FAC INSTALL/REPAIR-RES
40.065872,-75.078535,INTERIOR UNSAFE CONDITION 2
40.065872,-75.078535,ELEC-SYSTEM HAZARDOUS-RES
40.065872,-75.078535,"INT A-EXTERMINATE, OWNER"
40.065872,-75.078535,HEAT FAC INSTALL-RES
40.065872,-75.078535,INT S-WALLS REPAIR/MAINT SANI
40.065872,-75.078535,FIRE-SHAFT RATING 3 TO 5 FL
40.065872,-75.078535,LICENSE-RES GENERAL
40.033685,-75.107734,CLIP VIOLATION NOTICE
40.033347,-75.107482,CLIP VIOLATION NOTICE
40.040666,-75.066957,HIGH WEEDS-CUT
40.040879,-75.066754,HIGH WEEDS-CUT
40.040928,-75.066707,HIGH WEEDS-CUT
40.045049,-75.06326,CLIP VIOLATION NOTICE
40.027038,-75.119767,EXT S-CORNICE BARGEBOARD DEFEC
40.027424,-75.119457,DRAINAGE-YARD DRAIN REPAIR
39.991205,-75.103713,CLIP VIOLATION NOTICE
40.014481,-75.186918,LICENSE-RES AGENT REQUIRED
40.014365,-75.187088,LICENSE-RES GENERAL
40.014009,-75.186807,CAL LO
40.025,-75.081995,DRAINAGE-YARD DRAIN REPAIR
40.024788,-75.081529,RUBBISH/GARBAGE EXTERIOR-OWNER
40.025139,-75.081847,PERSONAL PROPERTY EXT OWNER
40.025382,-75.081591,HIGH WEEDS-CUT
39.991258,-75.10361,EXT A-VACANT LOT CLEAN/MAINTAI
39.991354,-75.103428,EXT A-VACANT LOT CLEAN/MAINTAI
39.991354,-75.103428,EXT A-VACANT LOT CLEAN/MAINTAI
39.991354,-75.103428,CLIP VIOLATION NOTICE
39.991408,-75.103325,PERMB- WK DONE W/O NOTIFY INSP
39.991372,-75.10283,VACANT BLDG UNSECURED COUNT
39.991372,-75.10283,VACANT PROP STANDARD
39.991394,-75.102789,LICENSE-VAC RES BLDG
40.013295,-75.188332,EXT S-ROOF REPAIR
40.025579,-75.081385,RUBBISH/GARBAGE EXTERIOR-OWNER
40.025421,-75.080913,HIGH WEEDS-CUT
40.026924,-75.120515,EXT A-CLEAN WEEDS/PLANTS
39.991702,-75.102763,LICENSE-VAC RES BLDG
39.991702,-75.102763,VACANT PROP STANDARD
39.991545,-75.1025,EXT A-CLEAN/EXTERMINATE
40.012902,-75.188954,CAL LO
40.026133,-75.08079,CLIP VIOLATION NOTICE
40.026169,-75.08075,CLIP VIOLATION NOTICE
40.025971,-75.080395,MECH FAC INSTALL/REPAIR-RES
40.025971,-75.080395,CLIP VIOLATION NOTICE
40.026317,-75.080604,HIGH WEEDS-CUT
40.026317,-75.080604,CLIP VIOLATION NOTICE
40.026191,-75.080179,RUBBISH/GARBAGE EXTERIOR-OWNER
40.027006,-75.119978,EXT A-CLEAN WEEDS/PLANTS
40.0355,-75.087112,HIGH WEEDS-CUT
40.0355,-75.087112,CLIP VIOLATION NOTICE
40.036023,-75.087125,LICENSE-VAC RES BLDG
